"Joke";"Joke topic"
What's the difference between karate and judo? Karate is a method of self defense and judo is what bagels are made of.;karate
What's a horny pirate's worst nightmare? A sunken chest with no booty!;pirate
My husband and I are fighting. There's about a 50 50 chance he knows.;marriage
Thousands of married racists are waking up this morning and questioning the skin color of their spouse.;racism
I wish the GPS lady would periodically say things like "Doin' great" or "Still going the right way, good job.";GPS
My neighbor won't give me a straightforward answer, he's always beating around the bush. Every time I ask why he just says "fuck you Gerald, it's my bush and I'll masturbate here if I want to";neighbor
What's an emo's favorite game? Russian roulette, except with a full chamber.;emo
This poster that says "Green Day: Sold Out" is right in two ways;Green Day
Q: Why can't blondes put in light  bulbs? A: They keep breaking them with the hammers.;blonde
What do you call an Asian penguin? A penguyen;penguin
Why does the disinterested Italian man have perfect skin? Because he's aloof-a;Italian
Where did Noah keep his bees? In his ark hives;Noah
Excuse me, I'm a little short on cash. Mind if we shared a cab home?;cab
Red sea. Dolphins for some reason can't stop vacationing in Japan. Seriously, who told them that the coast was to die for.;Japan
When I was a kid, I knocked out the power in my house. Mom said it was just a phase.;Electricity
[The Justice League on patrol] Superman: Wait! I smell something fishy... Batman:*chuckles* Aquaman: Know what? Screw you guys. I'm going home;Superheroes
Did you know that six days a week T.G.I. Friday's thanks God for nothing?;T.G.I. Friday's
At the supermarket I saw a man and a woman wrapped in a barcode... I asked, "Are you two an item?";Relationships
What award did the kid in a coma for six weeks win? Atrophy.;Coma
A tiny island deep in the Indian Ocean called Shiffer has the dumbest people in the world... It's why when you do something really stupid they say you have "Shiffer brains" - Johnny Carson.;Islands
I dont think being Gay is a choice Becuase if it was who would want to be Gay?;Homosexuality
Go ahead, mate with someone who wears glasses, add to the degradation of our eyesight as a species. Not like there are bears we need to spot;Evolution
Confucius said, man who sleep with itchy bum... ... wake up with smelly finger. BA DUM TSS~;Hygiene
if we're on a date and you're rude to the waiter I'd be like holy shit I'm on a date;Dating
My girlfriend said I talked just like Justin Bieber... ...I said, "What do you mean?";Justin Bieber
Studies show that men who have sex more often tend to have a longer life expectancy. Unless your wife finds out.;Marriage
The worst thing about Muhammad Ali sending a "Tweet" to Mayweather . . . Ali couldn't type it and Mayweather couldn't read it.;Boxing
Why don't we call the Hindenburg... ... the Skytanic?;Hindenburg
This is just a quick shout-out to bread bowls, waffle cones and other edible containers. You guys are doing a great job.;containers
I'm training for a marathon with my friend. Every day when we hit the trails he tells me the same thing, and it always makes me laugh. It's a running joke.;running
2 Packets of Crisps were walking down the street. A man in a van pulls up beside them and go " Would you guys like a lift?" The Crisps replied " No Thanks we're **walkers**";crisps
Guy walks into a bar... A guy walks into a bar and drunkenly yells at the bartender, "I fucked your mother!!". The bartender says, "Dad, go home".;family
My daughter has reached that age... My daughter has reached that age where she is asking embarrassing questions about sex. Just this morning she asked, "Is that the best you can do?";sex
TIFU by asking my wife what is the difference between a penis and a paycheck? She said "there is a possibility of increase in size of your paycheck.";marriage
No, please continue to talk loudly on the phone, smoke & spit next to my table. No problem! I'm just going to follow you home and kill you.;manners
Me: Who will I share the sunset with now?! *sobs* Friend: Bad breakup? Me: No. *wipes tears* My Instagram isn't working.;social media
Autocorrect changed honey to homey. Now, instead of going out to a romantic dinner we will be doing a drive-by.;autocorrect
Why can't Bach play the piano? He "Baroque" his arm, and also he's dead.;music
A Poem Roses are red, Violets are blue, Stop memes about Harambe -Cincinnati Zoo;memes
I can't wait until the 50th Anniversary Special... I'm very interested in who JFK will regenerate as.;TV
If I was named Edward Normus, I'd use my first name's initial and my last name as much as I possibly could.;names
You deserve a standing ovation from my tallest finger.;praise
Why does the Necromancer hate doing stand-up comedy? He always has a dead audience;Necromancer
What do Muslims and the BBC have in common? They both cover up for pedophiles.;Muslims
Alcohol activates the "we need to take pictures now!" center of your brain.;Alcohol
My dog loves sniffing piles of poop He gets so shitfaced from it.;Dog
So, I sold my old vacuum cleaner. It was just gathering dust.;Vacuum
What's big grey and flies straight up ? An elecopter !;Elecopter
Knock Knock Who's there ! Basket ! Basket who ? Basket home it's nearly dark!;Basket
Instagram banned me for life cuz I kept commenting "but are you happy?" on everyone's pictures.;Instagram
What do Psychologists say to each  other when they meet?" "You're fine how am I? ";Psychologists
*hot lady looks at me* Me: Hi! Do I know you? Lady: No I think I'm mistaken. *awkward pause* Me: So...is there a mister taken? *hit by bus*;Lady
I see subway employees are still having their "how much lettuce can you fit on a sandwich" contest.;Subway
My Father was never proud of me One day he asked me, "how old are you." I said, "I'm five" he said,"when I was your age, I was six";Father
Friends don't let friends talk about Pi Lest they become irrational.;Pi
What do you call a Russian with Tourettes Syndrome? Yukanol Fukov;Russian
[1st date] *recalls buddy said women like a manly man* *but also, be sensitive* I like to work with my hands, But splinters make me cry.;Dating
What do you get when you cross the Atlantic Ocean with the Titanic? Halfway;Titanic
When the only light in your world is suddenly gone ...it's time to recharge your phone.;Phone
Beer is so smart that if you drink enough, right around your midsection, it builds a shelf for you to rest bottles on.;Beer
Sometimes I like to play God and just ignore everyone when they talk to me.;God
Why did the chicken cross the road? It didn't, I kicked the piece of shit before it did.;Chicken
Hamburger Helper only works if the hamburger is ready to accept that it needs help.;Hamburger
I don't think my neighbor knows my rule about not interacting unless we're both pointing at the same tornado.;Neighbor
My friend told me I sounded pretentious in my essay I don't get it: I don't think I sound ostentatious.;Essay
[at bar] "Yeah I pulled down a solid 6 figs last year." Whoa that's impressive! "I know, right! Can't believe I got fired by that fig farm.";Job
"1990 called, they want their shirt back." "...why didn't you warn them about 9/11?";Shirt
A man walks into a bar... The barman realizes something is up, and gets security to escort him out.;Bar
My neighbor knocked on my door at 3am Can you believe that? 3 in the morning, but luckily i was still up playing the drums.;Neighbor
TIFU by taking someone else's Subway order Oops, wrong sub.;Subway
what do you call a group of naked old men doing yoga? Lululemonparty;Yoga
Me and my best friend reverse our cars everywhere together. We go back a long way.;Friendship
ME: So you indicate action using airstrikes? HER: What? No, I said asterisks. ME: Ha, of course. [to walkie-talkie] Disengage. DISENGAGE!;Communication
Cleaning ladies: The new craze that's sweeping the nation;Cleaning
I'd tell you my Jim Jones joke... But the punch line is too long.;Jim Jones
Im so glad I learned sign language its pretty handy;Sign Language
What did the alien say to Franz Schubert? "Take me to your lieder!";Music
I'm an animal in bed I do it doggy style and come after 5 seconds;Sex
Nice butts take my breath away... I'm assmatic.;Butts
Never trust anyone under 30 lbs. Especially when it comes to driving directions. Babies are liars.;Babies
Why couldn't the kid get into the pirate movie? It was rated R.;Movies
If con is the opposite of pro ... then is Congress the opposite of progress?;Congress
Artificial intelligence is no match for natural stupidity.;Intelligence
What did the corn stalk say to the other corn stalk? "That outfit makes you look very corny.";Corn
Nobody really knew that grandma had dentures until.... ...it came out during a conversation;Grandma
Where does lonely soup go? To a brothel.;Soup
If I had to choose between a stepstool and a device that let's me get even higher... ...I'd take the ladder. (I'll just leave now);Stepstool
* Runs Baywatch-style into oncoming traffic *;Traffic
I can't RSVP until I know the wifi situation at your event.;Wifi
What do Paul Walker and Pink Flyod have in common? Their last hit was the wall;Paul Walker
Chinese Food: $16.72 Gas to Get to Restaurant: $1.94 Getting Home and Realizing They Forgot One of Your Food Containers: Riceless;Chinese Food
If you were transported right now to Mars you should be able to jump 62.5% higher... [anti-joke] But you can't because you would be dead. No spacesuit = not alive.;Mars
What did Jose name his son? Hose B;Jose
why did the cookie go to the doctors? ... because he felt crumby!;Cookie
How to make $500 fast Attach it to a rocket Credit: 4chan;Money
What do you call a racing horse that's never been groomed? Furlong;Horse
men are so polite woman in a bikini reveals about 90% of her body.... and yet most men are so polite they only look at the covered parts.;politeness
If a girl has magnetic personality and still She can't attract the desired boy. Then that means the boy has iron deficiency.;personality
Why do pencils shave? To look sharp;pencils
If I had a dollar for every time I thought of you... ...I would start thinking about you;thoughts
Isn't it amazing that your wallet is always so close to your ass...but somehow never smells bad?;wallet
4 yo: Mommy, it feels so good. Me: What does? 4 yo: To be a gangster. Me: ... Go tell your father I said to come here.;gangster
What planet is so big the entire universe can fit in? Ur Anus.;planet
Why is it unjust to blame taxi drivers for cheating us? We call them to take us in. (From The Project Gutenberg EBook of The Handbook of Conundrums, by Edith B. Ordway. So this is a century old joke.);taxi
TIFU with my girlfriend... ...She was on top;girlfriend
I just swallowed a whole box of scrabble pieces... My next shit could spell disaster;scrabble
Her: Do you watch Desperate Housewives? Me: No but I follow a few on Twitter.;housewives
What do you call a group of black people? Antique farm equipment.;black people
HEROIC ACT - I stick my head under dressing room doors to tell people they look nice in whatever they are trying on.;compliment
What's the difference between a garbanzo bean and a chick pea? I wouldn't pay 100 bucks to have a garbanzo bean on my face.;chick pea
1. Go to seminary. 2. Get degree. 3. ??? 4. Prophet.;prophet
What do you call a burning rocket? Korean Barbecue.;rocket
Why don't any pirates live in Kansas? Because they all live in *Ar*kansas.;pirates
"Look, daddy! I'm a doctor!" "Did you know that's the same doctor kit I played with as a ki... OMG YOU DIDN'T LICK ANY OF IT, DID YOU?";doctor kit
Remember before the smartphone when you had to take your laptop into the bathroom with you? God, it's like we were cavemen.;smartphone
What do you call a flying bagel? A plane bagel.;bagel
With all these new apple devices, what's gonna be next? The iPoor;apple devices
German sausage jokes are the wurst ...;sausage
Teacher: whoever answers my next question, can go home. One boy throws his bag out the window. Teacher: who just threw that? Boy: Me! I'm going home now.;teacher
Yo momma's so fat She drives a spandex car.;fat mom
Old Lady at the bank I work at a bank, and one time an old lady asked if I could check her balance. So I pushed her over.;Bank
I made up a joke: What did the physicist say to the Jedi? The mass * acceleration is strong with you.;Physics
I hate when people ask me what I'm doing in five years... Come on guys, I don't have 2020 vision.;Future
Guys whose fathers left when they were young always complain about how they never had someone to "teach them how to shave" but it's easy... You start at the ankle and work your way up!;Shaving
Do you come from heaven? Did it hurt when you landed on your face?;Heaven
How many cops does it take to screw in a light-bulb? None, they just beat up the room for being black.;Police
Willie saw some dynamite, Couldn't understand it quite Curiosity never pays: It rained Willie seven days.;Dynamite
Repairing Old Clothes by Fred Bare;Clothes
One did one butt cheek say to the other butt cheek? The hallway stinks.;Butt
Why is a 12oz can of Coca-Cola more popular in St. Paul and Minneapolis than a 2 liter? Because it's a mini soda.;Coca-Cola
**What do you call it when an asian family has a feud** **LONG** division;Family
A Roman walks into a bar and says "Hey Niko! It's your cousin Roman, let's go bowling.";Bar
Practice good oral hygiene by wiping your mouth with toilet paper after talking shit;Hygiene
I'm not that great at origami... I cut corners.;Origami
What did Judas say after capturing Jesus? Nailed it.;Jesus
I want to learn the Finnish language. But I don't know where to start.;Finnish
Do you know the difference between genius and  stupid? "Genius has its limits.";Genius
Pregnancy tests in movies are so weird... She hands him the test and he stands there holding this stick of pee like it isn't a stick of pee;Pregnancy
Ann! do you remember me? We have so many memories together Ann: **SEGMENTATION FAULT**;Ann
imagime if introverts were as aggresive to extroverts as extroverts r to introverts "why do u hav to socialize" "why dont u stay in" "loser";Introverts
My problem with McDonalds is I can't go retrieve my kids in the play tubes because I can't fit in the play tubes because I eat at McDonalds.;McDonalds
Christmas is always awkward in Steve Harvey's house None of the presents have the correct names.;Christmas
Q: What did the fisherman say to the card magician? A: Pick a cod, any cod!;Fisherman
The guy who stole my personal journal has died... My thoughts are with his family.;Journal
A bunch of white men came up with ways to solve institutional racism, and all without having to listen to even one black person. GREAT JOB!;Racism
every snail has a perfectly baked cinnamon bun inside its shell;Snail
Why do Anarchists only drink herbal tea? Because all proper tea is theft.;Anarchists
What does a Scottish cat say? Mee yew!;Animals
I'm switching all of my clocks to a 24-hour format... ...making it much easier to wait til 5 o'clock to start drinking;Drinking
Hey guys, what's the name of that movie where Michael Cera plays a socially awkward teenager?;Movies
I think my cat's a communist... He won't shut up about Mao;Politics
Shaving your head when you're going bald is the ultimate "You can't fire me, I quit.";Baldness
*sees a truck* Nice. *sees a trucker* Oh, impressive. *sees a truckest* Ah yes. This is what I came for.;Trucks
Why did the cows return to the marijuana field? It was the pot calling the cattle back.;Drugs
I just learned that embalmers insert butt plugs into corpses to prevent leakage.... So now I know why zombies walk like they do.;Zombies
"this is your captain speaking. i bet you're reading this in a man's voice. well guess what! i'm a woman captain. women are captains too.";Feminism
Teacher: What do you think astronauts wear to keep warm? Girl: Apollo neck jumpers ?;Space
What do classical musicians write before going shopping? A Chopin Lizst (shopping list);Music
Scientists have deciphered hieroglyphics thought to be 5,500 years old. The first full sentence says "This is a repost.";Internet
After placing me in charge of training new employees I can't help but question my companies' commitment to success.;company
People who wait 3 hours to respond to a text "LOL" should be punched in the neck. Your not fooling anybody. You weren't LOLing that long.;communication
My neighbor and I accidentally made eye contact today when she caught me making a sandwich in her kitchen;neighbor
Why did the dog sleep so poorly? By mistake he plugged his electric blanket into the toaster and kept popping out of bed all night!;dog
Starting to think the frog dissection skills I learned in high school are never going to pay off.;education
The Red Hot Chili Peppers failed to show up to their concert last night. They're now known as the Red Hot Chili Flakes.;music
What do you call a cow that plays the guitar? A Moosician!;cow
If you take the word "spatula" out of the dictionary it's just a list of things that aren't spatulas.;dictionary
"This is BULLSHIT" - enthusiastic manure salesman;salesman
What is the difference between Saint Patrick's Day and Martin Luther King Day? On Saint Patrick's Day everybody wants to be Irish.;holiday
A Man was Fishing in the Jungle After a while another angler came to join him. "Have you had any bites?" asked the second man. "Yes, lots," replied the first one, "but they were all mosquitoes.";fishing
To the person that stole my copy of Microsoft Office... I will find you. You have my Word.;software
I had sex with a prostitute last night... It turned out to be a rash decision.;prostitution
Trying to think of a funny Good Friday joke, I really want to NAIL it.;holiday
Do I just call you or should we resolve this quickly with 200 text messages?;Relationship
What is it called when a politician craps his pants in a Honda? Civic doody.;Politics
I repeatedly slapped my girlfriend as hard as I could at the concert last night. I was clapping for the band.;Relationship
I just ran a .003048K;Running
A crowd of theater fanatics walk into a bar. They go to the bartender and say, "One round please." "A round of what?" The bartender asks. "A round of *applause*!" They all scream in unison.;Theater
Two married man talking.. 1st man: Im so lucky, my wife is an angel. 2nd man: Good for you! Mine's still alive.;Marriage
Compare to what Luke and Anakin had lost, Leia is considered lucky At least she still has the D;Star Wars
I'm really glad they named a park bench after my uncle in memorial. It fits, he was great at having homeless ppl sleep on top of him;Family
Tasted the best Borscht ever! It'll be hard to beet.;Food
There's nothing more disturbing than the 1st time you hear someone you know using their "whooo's a good dog" voice.;Pets
*brings knife to gunfight* *knife used to cut pizza* *pizza served & differences resolved* *last slice up for grabs & gunfight ensues*;Conflict
Masturbation is like procasination In the end you're just fucking yourself;Masturbation
Do people who go to the gym to "feel the burn" know nothing of Mexican food?;Mexican food
Why can't meteorologists forecast the  weather?  -They are too busy studying comets and meteors;Meteorology
What is the most painful way to be measured In megahertz;Measurement
What's the difference between snow men and snow women? Snow balls.;Snow
I was diagnosed with Alzheimer's seven years ago But it feels like it was just yesterday;Alzheimer's
When I punish my 16 I don't take away her phone I take away her charger and then I watch the fear in her eyes as her battery dies. It's fun;Parenting
How did Rihanna find out Chris Brown was cheating on her? She found another women's lipstick on his knuckles.;Relationships
I asked a guy what his favorite movie was earlier today. And it was not Paul Blart: Mall Cop;Movies
So a guy walks into a bar... Ouch.;Bars
I got fired from my job as a chef for stealing kitchen equipment. ... .... It's a whisk I was willing to take.;Cooking
[2048] President Khaleesi Smith decrees that the words of the Star Spangled Banner will be changed to "Land of the fleek & home of the bae";Politics
Which presidential candidate does Tom Brady support? Whichever can reduce inflation.;Politics
"Are u going to the circus?" is a perfectly good sentence when not used as a follow-up 2 your wife's question: "how does my make-up look?";Marriage
Got fast food so many times this week that when mcd's asked me to pull out front to wait for my order, I was expecting an intervention.;Fast food
Did you guys hear about them putting Harriet Tubman on the $20 bill? To bad it is only going to be worth $12 now.;Money
If someone bumps into you while you are wearing camouflage you have no one to blame but yourself.;Clothing
What do you do if you break your arm in two places? Don't go back to those two places.;Injury
An infectious disease enters a bar... The bartender says, "We don't serve your kind in here." It replies, "Well, your not a very good host." It isn't mine, my doctor told me this one;Disease
I think three movies is a bit much for the hobbit. Seems like they're really dragon it out.;Movies
A pair of jumper cables walks into a bar... The bartender looks right at him and says, " Hey! Don't you go starting anything!";Jumper cables
I got a job at Apple today by answering just one question. The interviewer asked what my passion was and I said, 'tax laws'.;Job
One time I bought these shoes from a drug dealer, and I don't know what he laced them with, but I've been tripping all day;Shoes
I just typed "cupkale" instead of "cupcake" and accidentally invented what has to be the worst dessert idea ever.;Typo
I'm starting my own Build-a-Bear type place except the kids make toys for other kids and it's in China.;Business
Bears think if you're lying down motionless, you're dead. So everyday, the first bear to wake up thinks its entire family is dead. Tragic..;Bears
What CS:GO hack do tumblr girls use? Trigger bot.;Gaming
My friend doesn't like being called Squidward. He told me, "But I hate SpongeBob..." I said, "That's the spirit!";Friend
Cannibals do not like to eat vaginas. .....Because it tastes like fish. -.&gt;Cannibals
My girlfriend dumped me on a fishing trip. She left me reeling.;Girlfriend
Why is Quicksilver so fast? Because he's Russian;Quicksilver
Today I saw a guy on the street wearing a "Stop Snitching" shirt I asked him where he got it. he wouldnt tell me.;Snitching
What do you call fireworks that don't work? Fireunemployed.;Fireworks
What's faster, the speed of thought or the speed of light? Neither, it's diarrhea. Before you could think about it or even turn the lights on, you've already shat yourself.;Thought
When your bucket of KFC starts talking about the afterlife, that is some deep fried chicken.;KFC
Is Rick Moranis dead? or just his career?;Rick Moranis
What's a Mexican's favorite sport? Cross Country.;Mexican
Why does a chicken coop have only two doors? If it had four, it would be a chicken sedan.;Chicken
What did the priest say to the altar boy who liked chickens Cock-a-diddle-you;Priest
Why did the eyeglasses model become a beekeeper? He heard that beauty was in the eyes of the bee holder.;Eyeglasses
Sad how some stick figures get stuck working the hangman game, while others get to have nice families on the back of SUVs;Stick figures
Sunday is an attractive person at the bar who turns out to be religious;Sunday
*throws back out* Back: Let me back in baby, I can change.;Relationship
Who went into a witche's den and came out  alive ? The witch !;Witch
Black Jesus. Went to jail for you;Jesus
What do you get when you cross pasta with a snake? Spaghetti that winds itself around your fork.;Food
Happy New Year! Welcome to 20!;New Year
If your rice accidentally gets wet, you can dry it out overnight by placing it in a bowl of cellphones.;Rice
Turns out, telemarketers don't like it when 5 year olds answer the phone and tell them princess Ariel stories.;Telemarketing
Wait. What? You need two people for sex? What does the other one do?;Sex
Jury remains deadlocked in the case of Good Times v. Bad Times;Time
I think God is for the legalization of marijuana. After all, the Bible is full of people getting stoned.;Marijuana
What do you call the remnants of blown up cheese DeBrie!!;Cheese
Did you hear about the guy who crashed his car into a tree? He wanted to see how much his Mercedes Benz;Car
I just woke up from a 13month coma Just in time to see my wife give birth;Marriage
I once overdosed on Viagra. My wife took it really hard.;Viagra
I don't like Holocaust jokes... I do Nazi why they're funny, Anne Frankly they're quite offensive. EDIT: a word;Holocaust
I hate when all the silverware is dirty and I'm down to using the giant decorative fork that hangs on the wall.;Silverware
A good name for a vintage store would be 'Pants Dead People Have Farted In';Vintage store
