"Joke";"Joke topic"
The hardest part of being Darth Vader is never being able to sneak up on anyone because your theme music started playing.;Parenting
I'm just a girl Hiding under a bed Hoping his wife leaves soon Again;Darth Vader
What started with a J, and ends with whore?;Infidelity
What do you get when you cross a joke with a rhetorical question?;Parenting
What can you tell a black kid to do? Go visit his family tree.;Jokes
Semi-good news for agoraphobics... A treatment is right around the corner!;Christmas
Good effort but we all know you're the ugly one in your two person profile picture.;Agoraphobia
A low pressure faucet and a penis with erectile dysfunction have a lot in common.... Both can still drain their liquids but neithers getting anything off;Frugality
My wife's leaving me for refusing to stop referring to our children as my Capri Son and Capri Daughter.;family
How do you wake up Lady Gaga? poke her face;celebrity
What do you get if you cross a skunk  and a dinosaur? A stinkasaurus!;animals
Pokemon GO servers Yeah, that's it.;gaming
today I matched speeds with a car on the highway so I could make eye contact with a dog in the backseat;driving
A roman centurion walks into a bar... He holds up two fingers and says: "Five beers, please.";history
My Grandad is always complaining about how much things cost. "Two quid for a cup of tea?!"... I said, "Well you just popped round, I didn't invite you!";family
Q: What came first the chicken or the egg? A: The rooster.;science
Q: What did the can say to the can opener? A: You make me flip my lid.;food
DATE: *sighs* You said you were a professional body builder. ME: I am! I make prosthetics. Ha ha! And funny jokes! Wait where are you going?;dating
What is ISIL's favourite dessert? Terrormisu;terrorism
Lumberjacks are good at maths because of their log rhythms Thanks, HL Math.;math
A watch dog is like a regular dog,only it can show you the time.;animals
That awkward moment when no one else is laughing, except for you and you can't stop.;awkwardness
What do you call a urinary tract infection caused in a virgin? Immaculate Infection;infection
and so, the squirrel who forgot where he buried his acorn became the squirel who planted this tall beautibful oak tree;squirrel
[end of a job interview] Interviewer: Any questions? Me: If you could become half robot, would you do it? Him: Me: Him: Which half?;job interview
Always a bridesmaid, never a new world-order leader in a post-apocalyptic all-powerful matriarchy. Sigh.;marriage
i have a heavy flow maxi pad in my wallet so it looks like i have lots of money;money
Honesty is the best policy but insanity is the best defense.;honesty
If I had a dollar for every girl that found me unattracitve... ...eventually they would find me attractive.;attraction
Joss Whedon should open his own version of a Tractor Supply store, with gardening and animal supplies ... ... he could call it Whedon Feed 'n Weed-n-feed;store
Old Twitter is what you'd get if an engineer brought New Twitter to Steve Jobs, and Steve beat on him relentlessly to simplify it.;Twitter
Why do the Scottish wear kilts? Because a sheep can hear a zipper from like a mile away.;kilt
I drink a glass of red wine a day for health benefits. The other 7 glasses are just for me.;drinking
What's the difference between a pick pocket and a peeping tom? [NSFW] A pick pocket snatches watches.;crime
A haunted house, but instead of masked creatures it's filled with everyone's mother-in-laws.;mother-in-law
Where do muslims go when they die? To the ethereal startrek convention.;muslims
The Guy who traded a hat for things of equal or greater worth... No, seriously let me know if you want to trade me something for my hat.;trade
When a cop pulls you over, pull out a map and ask them for directions until they forget that they pulled you over. -me, right now;police
Why do breasts have nipples? Because without them they would be pointless.;breasts
I read murder mystery books starting from the middle. I like the double sided suspense that builds up.;mystery books
Why don't people tell Chemistry jokes? Because they never get a reaction.;chemistry
Instead of politely knocking on the bathroom door, my kid attacks the door like a rookie DEA agent on his first raid;bathroom
[Enter your password] Secret [Password must be 6 characters] Secrete [Password disgusting but accepted];password
Scientists say that girls can get cancer just for being virgins. Luckily theres a vaccine for that.;virginity
[gets down on 1 knee] Babe will you-- "Yeah... Here it is" [she lends me her phone charger] Thanks;Love
How do they fit so many islands into such a small bottle of dressing??!!;Relationship
Sure, Aphrodite poses naked in a giant clam shell, she's a goddess. But when I do it, I'm ''drunk' and 'no longer welcome at the aquarium'.;Dressing
Irritating An irritating friend took a drink from my wife's beer and said, "Ha,Ha, this is one step from kissing your wife!" "Yes it is," I replied, "and two steps from sucking my dick.";Nudity
