"Joke";"Joke topic"
What did one orphan say to the other? "Robin, get the bat mobile.";orphan
The Harambe memes need to stop It's very de-meme-ing.;Harambe
Not a fan of APA MLA, however, was love at first cite.;APA MLA
My science teacher taught us about gravity today. It was such a heavy subject to take...;gravity
I don't get Roomba commercials. Like who spills an entire box of cereal on the floor and is like eh leave it for the robot to clean up;Roomba
Kinda scared for 2015 .. Kinda scared for 2015 because 2+0+1+5 is 8. The exact number of nipples Hitler would have if he had 6 more nipples.;Hitler
What did the annoyed husband tell his wife after she saw elk falling from the sky? *Sigh* That's not elk... That's just reindeer.;husband
How do you clear out an Iraqi bingo parlour? Call out "B-52";Iraqi bingo
Official Adrian Peterson Joke Thread Submit your best AP jokes and get upvotes. Easy enough, eh?;Adrian Peterson
what is funny and starts with a j a joke;joke
Her: I like the man-horsey in this film. He's hot. Me: Centaur. H: What? M: Centaur H: Is that his name? M: I want a divorce.;centaur
"I've got chills. They're multiplying." "Sir, you're going into shock. Please stop narrating--" "And I'm losing control." "Sir!";shock
I found a hole in my trainer that's big enough to put my finger through. One formal complaint from her, and I'm now banned from the gym.;trainer
officer it's my son's car "just make it stop sir" I don't know how "can you call him" I'll try *tries to dial while car bounces up and down*;car
[junkyard dog barking viciously and running directly at me] Me: Wow he must really want me to pet him;dog
It might be time to diet when you ask Siri to call your " boyfriend" and she dial's up Domino's pizza;diet
I like my men like I like mathematics. Hard.;men
"Opportunity" doesn't always knock the door... Last night she walked in our room when we were in a compromising position. Kids these days!;opportunity
What's the difference between a Blues musician and a Jazz musician? A blues musician plays 3 chords to audiences of thousands.  A jazz musician plays thousands of chords to audiences of 3;music
Who is the most musical Canadian heroine? Laura C-Chord.;music
SON: what ya reading? DAD: a huge book on podiatry SON: how long is it? DAD: it's about a foot;book
There's a fine line between confidence and delusion and I ride that shit like a bear on a unicycle.;confidence
Another knock knock joke X: Knock knock. Y: Who's there? X: Doctor.;doctor
Isn't it weird how when a cop drives by you feel paranoid instead of protected.;police
Q. How many men does it take to wallpaper a bathroom? A. Three if you slice them very thinly.;wallpaper
A man spent millions on an impressionist painting then ate it... He put his Monet where his mouth is.;painting
Saved my gall bladder in a jar so when they ask me at the DMV if I want to be an organ donor, I can put it on the counter and say, "YES!";organ
What happened when the Mrs. Smith's truck collided with the Tastykake truck? Pyrex;Accident
I apologize to everyone that I've ever offended. Just kidding. Could you imagine?;Apology
I was going to share my joke about cocaine with you But it's only a one liner;Cocaine
What's the difference between boogers and broccoli? Kids don't eat broccoli.;Food
Pizza is an emotion right?;Pizza
just when my neighbors think they know me, I sprint across their yard pushing a wheelbarrow full of hair;Neighbors
I'm no photographer, but I can picture us together.;Relationship
I consider myself a dog person I love ass in my face;Dogs
Why do Italian men grow mustaches? To try to look like their mothers.;Italian men
GTA: Online servers;Gaming
My doctor told me to start killing people. Well not in those exact words. He said I need to reduce the stress in my life. Same thing.;Stress
The doctor gave me 2 months to live I'll spend them making people think I'm reposting.;Death
What do you say if your peeing in Ireland and spot a leprechaun? Urine luck;Ireland
My favorite part of the Bible is where Jesus gives money to the rich, tells the poor to suck it up and asks for Caesar's birth certificate.;Bible
(Date) ME: Watch this *ties cherry stem with tongue* HER: *giggles* 1-UP WALLY: *places Rubik's cube in mouth and pulls it out solved*;Dating
Why did the bus stop? Because it saw the zebra crossing.;Animals
My dad use to take me to the circus to see the tattooed man and the bearded lady. Now, I can see them anytime shopping at Walmart.;Society
EAT becomes FAT If you don't draw the line.;Food
What do you call an Asian who breaks a lot of wind? Fa Ting;Ethnicity
I wish we were Irish Daughter: I wish we were Irish, so we could have more fun on St. Patrick's Day Me: Irish you were a Beer;Ethnicity
How I get my dick to be 12 inches? I cut it in half;Body
I was having dinner with a snowman... The other day I was having dinner with a snowman, and he says "Am I crazy, or does it smell like carrots in here?";Snowman
When I see someone in public talking on a bluetooth..I like to position myself on the other side, lean in & whisper "It's ok I see them too";Technology
Every cigarette that you smoke...... ....... Takes 7 minutes off your student loan debt.;Smoking
Why did the polish person marry someone from the other side of the country? Because opposite poles attract;Physics
It's "aisle" not "isle." If someone's on the "alcohol isle" that means they're in Jamaica, not at the grocery store.;Geography
What kind of underwear does a person wear when buried? Fruit of the tomb;Underwear
Easter is a sad day for Lance Armstrong He can never seem to find more than one egg;Easter
Smokey said "Only you can prevent Forest fires" That's alot of pressure.;Forest fires
What's the difference between Isaac Newton and the baby I just killed? Isaac Newton died a virgin.;Isaac Newton
NOT all policemen are strippers.;Policemen
"Dadd-" "No." "You don't even know what I was going to say!" "You're wearing your Superman costume and standing beside the ladder. No.";Parenting
Hey girls, you are not a "mommy" just because you own a dog. You have to have a kid to be a mommy. If you are a mommy, then I am a dragon.;Motherhood
Did you ever ask your parents what went wrong, people named Lasagna?;Lasagna
I've realized that when my wife says "what?" its not because she didnt hear me, shes just giving me a chance to unsay something I just said.;Marriage
what was adam's nickname for eve? prime rib;Bible
Whats the difference between Zoidburg and Snowden? both accused of treason for expressing their freedom but Zoidburg didn't get his marshmallows!;Zoidburg
You know what's the common thing between iPhone 7 and the board on Titanic? There is no room for Jack;iPhone
If life begins at conception then I can use the carpool lane for the next few days;conception
Why did the sperm cross the road? Because I put on the wrong sock this morning...;sperm
What's the easiest way to get a little head? The Zika virus.;head
Went to the store without my dentures because what are the odds Scarlett Johansson and I would be reaching for the same box of fish sticks?;dentures
Comedy is tragedy plus time.;comedy
What kind of flour is independent? Self-Raising flour.. I'll get my coat.;flour
What do you call the procedure that is done when a woman wants to become a man? An Adadictomy;transgender
*shuts down road going both ways* Right over here, officer. Here is where the accident happened. *pulls tiny sheet over squirrel*;accident
I'm sick of hearing about this World Class chef at Taco Bell. Chefs don't work at Taco Bell. Your weed dealer works at Taco Bell.;Taco Bell
If you've seen one shopping centre... You've seen a mall.;shopping centre
A roofer is working on a house and makes a mistake and falls through the ceiling and into the house. One of the guys inside says, "nice of you to drop in.";roofer
Guy: There's a suit booked for me at a 5 star hotel. Girl: It's called a 'Suite' Guy: No it's a 'Suit'. I'm a waiter.;hotel
I want to ask you out, but I've got butterflies in my stomach. And worms. And maggots. And..;dating
I bought my friend a copy of The Lord of the Rings but he didn't seem that pleased. He though it was a Tolkien gesture.;books
Why don't blind people skydive? Because it scares the crap out of their dogs.;skydiving
An army of pandas descends on a fortress of evil trolls. The pandas are soft, cuddly, & deadly. It's the most adorable massacre in history.;pandas
What's the difference between beer nuts and deer nuts? Beer nuts are $1.25 but deer nuts are always under a buck.;beer
What's brown and rhymes with Snoop Dog? Dr.Dre;music
What do you call a baby pizza with epilepsy? Little Seizures.;pizza
I covered myself from head to toe in mirrors today. I don't really know why, maybe I'm just at that age where you do a lot of reflecting...;self-reflection
Drinking non-alcoholic beer is like going down on your cousin... It might taste the same but that shit just ain't right.;beer
Thank you for telling the definition of "many" to me. It means a lot.;gratitude
What is a vampires favourite type of ship? A blood vessel.;vampires
Had a terrible nightmare last night... I dreamt that I was forced to eat two huge marshmallows. When I woke up this morning, my pillows were gone!;marshmallows
You can tell a lot about a person's personality by the type of car they drive. I haven't got one.;cars
Q: How do you make soup gold? A: You put in fourteen carrots.;gold
Playing Frisbee with a five year old is amazingly similar to just running after a Frisbee.;Frisbee
Teacher: did your father help you with your homework? Student: no he did it all by himself;Homework
You heard the rumor going around about butter? Never mind, I shouldn't spread it...;Butter
Why Couldn't Anyone Understand The Mute Mathematician's? They didn't speak sine language.;Mathematician
If you're keeping score in your relationship, I promise you, you're losing.;Relationship
I sing like an amputee I can't hold a note. I can't carry a tune.;Singing
If he hurts you, cry a river and then drown him in it.;Relationship
Jack and Jill went up the hill, both with a buck and a quarter.... Jill came down with two fifty.;Jack and Jill
Whenever I go to Subway, when they ask if I would like my sandwich toasted, I say yes & then I raise my cup of Coke & say, "To my sandwich!";Subway
How many apples a day does it take to keep everybody else away;Apples
My 3 moods: 1. I'm too tired for this shit 2. I'm too old for this shit 3. I'm too sober for this shit;Moods
My friend said to me, "I'm going to dress up as an island near the bottom of Italy" I said "Don't be so silly.";Island
Knock, knock. Who's there? Madame. Madame who? My damn foot's stuck in door! Open up!;Door
What do you call a masculine Arab? Protein Sheikh;Arab
A man is at a job interview Interviewer: it says here you had a 4 year gap in your resume Man: I went to Yale Interviewer: Your hired Man: Wow I finally got a yob;Job
Beethoven found that having diarrhoea always helped him compose quicker By midday, he was already on his third movement.;Beethoven
I don't make spelling and grammatical errors I invent new languages. You ignorant Count.;Language
I'm not sure what gender fluid is... ...but it sounds like it's tough to get out of upholstery.;Gender
why didn't Maria go to prom? she had no Juan to go with;Prom
When you know it is too cold in Bay Area? When you see the programmer's hands are in their pockets.;Bay Area
Jesus loves you is comforting to hear in church, but terrifying to hear in a Mexican prison.;Prison
Whats the difference between acne and the pope? Acne doesn't come on your face till about thirteen.;Pope
What kind of drink does a ghetto drinks? A GHETTOrade;Ghetto
How do you get down from an elephant? You dont. You get down from a duck.;Elephant
"No, don't get up" - how I greet people in wheelchairs.;Disability
What musician has the hardest instrument to play? A Tromboner.;Music
Give a man a fish, sickening him with botulism which spreads rapidly, people begin dying in droves, STACKS OF CORPSES BLOT OUT THE SUN.;Fishing
Me: nice car Friend: yeah 400 horsepower Me: that's like 7000 ducks Friend: what Me: what;Cars
Oh, you sent me an event invite on Facebook? We've never met and you live 2,400 miles away, of course I'll go!!;Facebook
I do a spot-on impression of a man in his 30's not living up to his full potential.;Self-improvement
What does an academic call masturbation? His seminal work.;Academia
Real confidence I was asked to write an essay of about 300 words on confidence I wrote - "THIS IS REAL CONFIDENCE AND SUBMITTED IT";Confidence
You text him, he doesn't text you back. Obviously he was so excited that you texted that he fainted.;Relationships
What did the mathematician do when he was constipated? He worked it out with a pencil...;Mathematics
State trash talk thread Insult your fellow state;Geography
How do you tell the difference between a chemist and a plumber? Ask them to pronounce "Unionize".;Professions
When I was a child, I remember lying with my eyes closed waiting for Santa to come Then there was the awkward silence as he got dressed and left.;Christmas
Why does night fall but never break and day break but never fall?;Time
What bird has wings but cannot fly ? Roast turkey !;Thanksgiving
How do you sink a Swedish submarine? Knock on the hatch.;submarine
Why didn't Helen Keller scream when she fell off the cliff? Because she was wearing mittens.;Helen Keller
My life is a constant struggle between wanting people to text me and never wanting to reply to texts.;life
Knock Knock Who's there ! Clark ! Clark who ? Clark your car in the garage !;car
I was having trouble starting my Venn Diagram... But now it's all coming together.;Venn Diagram
Husband : Why are there broken condoms on our couch??? Wife : would you please call our children by their real names?;marriage
Why is Oklahoma so windy? Because Texas sucks and Kansas blows!;Oklahoma
Which French novelist looked like a scrotum? Balzac;Balzac
How do birds record their songs ? On duck tape !;birds
Why can't you have two Apple watches? Because then it would be a pair (pear)!;Apple watches
I had to turn off my carbon monoxide detector... ...The constant beeping was giving me a headache and making me feel sick.;carbon monoxide
"Haha, Imagine Dragons. What a dumb band name." -Neutral Milk Hotel fans;music
So a man wins an argument with his wife...;marriage
I was dating a girl with a lazy eye... but caught her seeing someone on the side.;eye
[interview] Any questions? "Why isn't Bigfoot called Bigfeet?" No about working here "Oh! If he worked here would you call him Bigfeet?";Bigfoot
Your french fries are just my french fries on the wrong plate.;french fries
