"Joke";"Joke topic"
i can always see the flash of disappointment n a guy's face when i tell them i have a great relationship with my dad.;Relationship
Girls named Miranda never think it's funny when you tell them they have the right to remain silent.;Miranda
Why did the case against the great dessert robber get thrown out? De minimis non curat lex.;Law
Golfer: "That can't be my ball caddy. It looks far too old." Caddy: "It's a long time since we started sir.";Golf
Don't ask God to cure cancer & world poverty. He's too busy finding you a parking space & fixing the weather for your barbecue.;God
If at first you don't succeed, skydiving just isn't for you.;Skydiving
What is Green and Oblong? A well disguised orange!;Orange
19 and 20 got into a fight... Now they're facing 123 years on disturbing the peace.;Numbers
Schrodinger's cat jokes never get old well, they do, but, they don't;Physics
What do cannibals call shin meat? Below knee;Meat
Whoever put the 'b' in subtle was a clever bastard.;Language
I just saved a bunch of money on my car insurance By putting it into reverse and fleeing the scene of the accident;Insurance
9/11 jokes are just... Plane wrong.;9/11
A good way to let the audience know a character doesn't "play by the rules" is to name her Kat.;rule
The porn version of Interstellar is out ... It's called "IntoStella". For the bonus point: in the gay porn version, Matthew McConaughey ends up in Uranus.;porn
*Me, getting my arm bitten off during a zombie apocalypse* 5: *crying* Me: It's okay, son. 5: You said you were gonna get me a snack.;zombie
In this moment, I am euphoric. Not because of some phony gods blessing, but because I am enlightened by my... KNAWLEDGE;knowledge
When I was 18, I wanted to buy a brand new motorbike, but my mother forbid it. She explained that she had a brother who died in a motorbike crash when he was 18, and so I could have his instead.;motorbike
Eliminate Anime and Islam, and you secure the the existence of western culture for eternity;culture
How do the Kardashians change a broken light bulb They buy a new house;Kardashians
"I need a boyfriend" No, you WANT a boyfriend. You NEED water, cause you sound thirsty.;boyfriend
I messed up my foot pretty bad. The doctors said it would take a while to heel.;foot
How many lead guitarists does it take to change lightbulb? One. He just stands there with the lightbulb and the whole world revolves around him.;guitarist
Working at the aluminum recycling plant is the saddest job I've ever had... ... It's just soda pressing.;aluminum
Silly Political/Finance Joke What do Vladimir Putin, Crude Oil, and the Russian Ruble have in common? They're all going to be 65 this year.;Putin
[at a child's birthday party] Lady: which one's yours? Me: uhh, that one L: that's my daughter M: *grabs the cake and runs*;birthday
That Russian guy died today.... I guess that's one we can Chekov the list.;Russian
I'd like you to meet my family, my wife Sharon, my son Carl, and this balloon that follows me around;Family
Go for someone who is not only proud to have you but will also take every risk just to be with you.;Relationship
Did you hear they're making a holistic version of Star Wars? It's based on darth vadar's holistic brother, Ayur Veder.;Star Wars
Why do British people never sound British when they sing?;British
It takes a second..... Two guys walk into a bar.... you think the second would have noticed. HA.;Bar
In the 17th century, villagers would burn down entire neighborhoods to combat diseases such as bubonic plague, typhus, and gluten.;Disease
after brexit... After brexit, papers please is the best selling game in the UK;Brexit
How does the butcher introduce his wife? Meat Patty. (This was told to me by an old man I cut off with my grocery cart at the grocery store).;Butcher
