"Joke";"Joke topic"
Greenpeace have come up with a new name for shrimp hunting, claiming it's the same as mass murder. They're calling it columbrine;Shrimp
My black friend got offended when I told him a racist joke I told him to lighten up;Racism
I gave 3 berries to my friend in a trail and got shot immediately... The sign never said they would shoot for trespassing!;Trespassing
I'm a responsible person. People are always saying "I know you're responsible for this.";Responsibility
How do bees go to school? They take the buzz;Bees
Why do people make offensive jokes about inbreeding? It's retarded.;Inbreeding
I don't need a reason to enjoy a little wine. I just need a glass.;Wine
I find it ironic that the colors red, white, and blue stand for freedom... ...until they are flashing behind you.;Freedom
Nowadays People know the price of everything, But the value of nothing.;Values
Can you find the the mistake...? Can you find the the mistake 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20?;Mistake
My 11 yo noticed my receding hairline and thought it was hilarious. Until I explained how heredity works.;Heredity
If you're a vegan who ran a marathon &amp you got your dogs from the shelter.... How do you decide which thing to wedge into the conversation first?;Veganism
[Chumbawumba concert]  I get knocked down, but I get up again..  [whack-a-mole just goin nuts in the crowd] "Aw hell yeah!";Concert
Working with cops as a none cop has its benefits. I always get to say the same joke and always get a laugh. "Do i smell Bacon!" i love cops... ill show myself out.;Police
I bought some artwork at GenCon, but I'm pretty sure I got ripped off. I swear they're all a bunch of con artists.;Art
[throws wine bottle into vineyard] "Go, be with your family.";Wine
I love that new song where that clever black fellow does a sort of "rhythm-talking" & uses such fantastic rhymes!;Music
What do the Patriots and Lance Armstrong have in common? They only have one good ball.;Sports
*1st date* "Nothing's sexier than a man who can surprise me & make me laugh" *cut to me in her closet in a clown suit* "Hellooo soulmate";Dating
According to the principle of the sandwich, if you put butter on both sides the sandwich will hang in the air.;Science
Pokemon GO is the biggest thing right now, guess whats up next! Plantation Tycoon DownSouth 1600s Go Railroad 1800's Tycoon Auschwitz Tycoon Pedophile Go;Gaming
*gets called a psychopath *googles "What's the average IQ of a psychopath?" AWWW, HE THINKS I'M REALLY SMART.;Psychology
I just took a Baking Class The final was a piece of cake.;Baking
Which country has the highest number of foolish people? Hungary. Stay Hungary, Stay Foolish;Nationality
Licked a frog once. He didn't turn into a prince but he did turn into an ambulance ride.;Animals
"Mom I wanna go bungee jumping." "NO!" "But all my friends are going" "Oh! So if your friends jump off a cliff, will you too?" "Er...yes";Parenting
--Whenever I am down in the dumps, I buy a new hat. --So that's where you get them.;hats
Why was the cop absent from work? He had swine flu;police
The show "The Office" ended in 2013. We are now living in a post-office world.;television
Had to talk with my son about masturbation today...I explained that it is natural, and he should probably knock before he comes into my room from now on.;parenting
Tonight on My Strange Addition Man addicted to brake fluid claims he can stop at any time;addiction
When I was young I used to pray for a bike, then I realized that God doesn't work that way, so I stole a bike and prayed  for forgiveness.;religion
What kind of back problem did the terrorist have? Scoli-isis;terrorism
Vending machines are so homophobic. I'm sorry my dollar is not straight enough for you.;homophobia
Why do pirates like TIG welding so much? Because they have a good supply of ARRgon.;pirates
