"Joke";"Joke topic"
Not sure yet why this cookie dough has baking instructions on the package.; cookie dough
What should you NOT name your pet chicken? Robin, else he'll be robin the cock; pet chicken
Police always seem disappointed when they realise those bits of foil on the floor of my car are just old chocolate wrappers not drugs.; police
What do you get when you mash up an avagadro? Guacamole.; chemistry
Two biologists have twins. They named one Jessica, and named the other Control.; biology
what do you call sodium chloride crossed with a poisonous writing utensil from out the sea a salt with a deadly wetpen *hides*; chemistry
Cop: Tell us what you know! Me: Penguins are monogamous creatures with noted cases of bisexuality Cop: *typing up his science report*; police
I'm not an olympic sprinter, I just run like one when my ex wants to talk.; relationships
Me: *goes to jail for murdering coworkers* Boss: You're still coming in early tomorrow, right?; work
Why did the chicken cross the road? It was actually a double cross. He had to cross the road in order to gain the trust of the other side.; chicken
How do you spell Canada? C-Eh?-N-Eh?-D-Eh?; geography
What do you get if you cross the Internet with a currant bread? Spotted click; internet
What do you call a Burberry Style Transforming Truck? Optimush Prime... Hahaaa.; fashion
definitions of twerk 1. to dance and gyrate in a sexually explicit manner 2. what a native of Brooklyn New York says where he goes in the morning; dance
[on date] HER: I cant see u anymore ME (hiding under table): lol I know H: no I mean I cant see u anymore M (still under table): lol I know; relationships
The youngest daughter of a cannibalistic family was late to dinner She got the cold shoulder;family
Who earns a living driving their customers away? A taxi driver;job
A man with multiple-personality disorder walked into a bar. No he didn't.;psychology
Careful...I've already had our entire fight in my head and it doesn't end well for you.;argument
PILLOW: Hey, your anniversary is today, go buy her some flowers ME: Wow, thank God for memory foam;anniversary
I was an unpopular child I got beat up a lot at school, but even though my teachers couldn't stop the beatings, they did give me a gym credit for them.;childhood
Fun prank: Just leave random "I'm sorry I hit your car" notes on people's cars and watch them look for a non existent dent.;prank
My first time having sex was just like my first time riding a bike My dad was holding me from behind.;sex
Why won't alligators attack lawyers? Professional courtesy;lawyers
"Son, if you keep masturbating like that you're going to go blind!" Dad, I'm over here.;sex
How do Spaniards take their coffee? Au lait.;coffee
What did the boy buy at the grocery store? Too Bad, I'm not telling you!;grocery
I got fired from the calendar factory... just for taking a couple of days off;job
I didn't know what to wear to my premature ejaculation support meeting... So I just came in my pants.;sex
A nihilist was robbed at gunpoint. Nothing of value was stolen.;Nihilism
Has anyone ever told you what it's like to be royally screwed? Let me fill you in.;Royalty
I got a call from Egypt today. They tried to get me involved in a pyramid scheme. (Credit to my wife for this one);Pyramid scheme
There are 2 types of people in the world The ones who can count.;Math
Did you hear about the woman who replaced her addiction to ornithology with alcohol? She was described as being off her tits.;Ornithology
I bet you want to hear a ghost joke right? Thats the spirit.;Ghost
What has two legs and is covered in blood? Half a dog.;Dog
I hate it when candidates put signs on your lawn without even asking your permission. Who the hell is 'Foreclosure'?;Politics
HER: What's your cell plan? ME: Bodily decay over decades until inevitable mortal collapse. You? HER: ... ME: ... HER: ... V-Verizon.;Cell plan
Yo mama so poor she was in K-Mart with a box of Hefty bags. I said "What ya doin'?" She said "Buying luggage.";Poverty
An ex girlfriend is like a box of chocolates... ...they'll both kill your dog;Ex girlfriend
Only 5 days until Facebook is stacked with return to the gym statuses and pictures of salads.;New Year's resolutions
How many drunks does it take to change a lightbulb? Just one. He holds the bulb and the room spins.;Drunk
Responded to a "you up" text at 3AM with "Let me play with your teeth." The reply ten minutes later: "no." This is already my favorite year.;year
*has no girlfriend or kids* *gives out dating and parenting advice*;parenting
I would absolutely slay the dating game if looks and personality didn't matter;dating
According to my current parking spot I'm a physician;job
When a man speaks in the forest and there is no wife to hear... is he still wrong?;marriage
Why can't gingers run? Because they have no soles;gingers
HOW DO WELSH PEOPLE EAT CHEESE? CAERPHILLY;cheese
I watch zombie movies to prepare myself if one day it really happens. Same for porn.;zombies
What's the pirate's least favorite letter? Dear sir, We are writing to you because you have violated copyright...;pirates
