"Joke";"Joke topic"
I'm having problems with favstar. Can all of you trophy me to see if it's working right now? Thanks.;Favstar
What's the difference between being horny and being hungry? Where you put the cucumber;Hunger
I have the attention span of a gold fish It's been staring at me for several minutes now.;Attention
Why was the Doctor screaming angrily at his secretary? He ran out of patients.;Doctor
You guys ever seen a cockatoo? Yeah? I bet you have.;Cockatoo
Gandalf was an alien. It's right there in his name: Gandalf the GREY. Wake up, sheeple!;Gandalf
A man goes into a bakery and asks for 99 loaves of bread... "Why not make it a 100 loaves?" asks the baker, to which the man responds "who the fuck eats that much bread?!".;Bread
I think my girlfriend might be a vegetarian... ...because I've never met a girl like herbivore.;Girlfriend
Why couldn't we get precise kinetic data on the phosphine-catalyzed reaction? The reaction rate was too phos-phor-us;Reaction
What do you call your friend from Prague who beat you at chess? Your Czech mate;Chess
Why do clairvoyants have crystal balls? So they can see what's coming.;Clairvoyants
It's find it a tough decision to buy the right mattress... I guess I'll have to sleep on it.;Mattress
I had to bury my girlfriends cat today... He put up a hell of a fight, but I got him covered up!;Cat
When I was a child I played "The Floor is Lava!" But as an adult, I've put away childish fancies, and purchased magical lava-proof shoes.;Childhood
What happens to you at Christmas ? Yule be happy !;Christmas
Good job I am very surprised that no one has made a 9/11 joke. I would of thought that 9 times out of 11 that I would see one.;9/11
John Goodman descends from the sky on his hang glider, scooping stray cats into his mouth like a pelican.;John Goodman
What is brown and sticky? A stick.;Stick
mom: Why are your eyes red? Are you high!? [flashback to me cry-singing Taylor Swift's "Love Story" in the car on the way over] me: Yes;Taylor Swift
A horse walks into a bar and orders an N.;Horse
Colonel Mustard invited me to the library to check out his candlestick collection, but I dunno... I got a bad feeling.;Colonel Mustard
Your place or mine? Tell you what? I'll flip a coin. Head at my place, tail at yours.;Dating
Exits public bathroom stall Makes eye contact with the person next in line Mouths: "I'm so sorry";Bathroom
The lords army. Chad: My brother, why don't you join the lords army? Bob: I'm already their. Chad: I don't see you on Sundays... Bob: I'm in the secret service.;Church
Why isn't suntanning an Olympic sport? Because the best you can get is bronze.;Suntanning
Heading to Chinatown tomorrow just to hear the people there say the word "election" all day.;Chinatown
They agreed upon 'almond milk' when the original name  flavoured nut water  was rejected by test audiences, for whatever reason...;Almond milk
Jesus and Mary will occasionally appear on toast, or pancake, or waffles. Always breakfast foods. Why? Because it's the most important meal.;Jesus
God: Women will bleed for a week. Universe: What will men do for pleasure at that time? God: *sigh* Fine. Mouths. But they'll talk. A lot.;God
My life coach just asked me leave because apparently she has "other pedicures to do" and doesn't "speak English".;Life Coach
I have no problem with Capital Punishment in theory.... I just have problems with its execution.;Capital Punishment
How many ISIS mercenaries does it take to change a light bulb? None stupid crusader, that's a job for the hostages!;ISIS
If a parsley farmer is sued... can they garnish his wages?;Parsley
I bet everyone in Gotham prisons really hates the guy that killed Bruce Wayne's parents.;Gotham
What was the fisherman's favorite art style reelism;Art
I demand a binary world. Everything should be black and white. Or not.;Binary World
My Dad was the town drunk, ... and we lived in Chicago.;Dad
Max has 40 cookies, and decides to eat 34 of them. What does Max have now? Diabetes.;Cookies
Bruce Willis is working on the 5th Die Hard movie! They should call this one "Just kill me already!!!";Die Hard
2 Beers = 1 Tweet 5 Beers = 3 Tweets 9 Beers = 7 Tweets 12 Beers = 12 Tweets 24 Teers = 30 Beets;Beers
How do you call the social media that your grandmother uses? Instagran;Social Media
A great high-intensity workout is maintaining a neutral expression when someone tells you about a cool place to hear electronic music.;Workout
Next time you're in the changing room and sales person asks if you need anything, just say "Yes, can I get some toilet paper?";Sales
Werner Heisenberg is driving down the road. A cop pulls him over and asks "Do you know how fast you were going?" Heisenberg replies "No, but I know where I am.";Physics
What do you call a dedicated but untalented gymnast? A working stiff;Gymnastics
Linguistics Student: "What's a glottal fricative?" "*Heavy sigh*";Linguistics
What did the accountant with constipation do? He worked is out with a pencil.;Accounting
GOOD COP: cover me! DAD COP: *tucks him in* snug as a bug;Police
What do you get when you drop a Piano on an army base? A flat major.;Music
I'll be coming into some money When Katy Perry gets on the dollar bill;Money
In a car it's illegal to not wear a seatbelt. But I guess if you're on a bus they figure death will be a sweet relief.;Transportation
What's the worst part of locking your keys in the car at an abortion clinic? Having to go inside and ask for a coat hanger.;Abortion
What do you get if you cross a vampire and a circus entertainer ? Something that goes straight for the juggler !;Vampire
Bought a new vacuum cleaner.. ..it sucks more than my old one;Vacuum
I organised a 3 some last night. There were a couple of no shows but I still had a good time.;Threesome
Dark humor is like a terrorist attack... the timing needs to be just right.;Dark humor
My wife is going to the hair salon today so for the next few hours I will be practising my reaction.;Marriage
I refused to believe my dad was stealing from his job as a road worker But when I got home, all the signs were there.;Theft
A man walks into a bar and says... OUCH!;Bar
BEN CARSON: On the news I saw a portal to another dimension open & robots came out, we need to stop that MODERATOR:That was The Avengers sir;Politics
