"Joke";"Joke topic"
Somebody said that truth doesn't exist at all. And then an enthusiastic supporter shouted: "YEAH, THAT'S THE TRUTH!";Truth
A black guy with a parrot walks into a bar. The bartender says, "wow! That is beautiful! Where did you get it?" The parrot responded, saying, "there are millions of them running around in Africa.";Parrot
Let's all just take a moment to appreciate the dedicated men and women of this great nation who sacrifice their evenings to deliver pizzas.;Pizza Delivery
"It's a-WE, Mario." - Peach, shortly before the divorce;Mario
I went as a congressional bill for Halloween.... I stayed in the House and didn't do anything.;Politics
Why is it that lawyers get sick? It's because they are *contract*ually obligated to do so.;Lawyers
An iPhone 7 walks into a bar ... I'll have a Jack please!;iPhone
I recently opened a company selling land mines disguised as prayer mats Prophets are going through the roof;Religion
What do you call a woman with one leg? Eileen;Disability
Interview Employer: "This is an important job, we need someone who is responsible." Applicant: "I'm the one you want! At my last job, every time there was a problem, they said I was responsible.";Job Interview
What's the difference between Michael Jackson and Disney Movies ? Disney Movies still touch kids;Michael Jackson
In response to Wikipedia's "price of a cup of coffee is all we need" fundraiser. I like my coffee like my wikipedia. Free!;Wikipedia
What does DNA stand for? The National Dyslexic Association;DNA
What's the difference between 9/11 and Tianjin? I'm only 75% sure Jews did Tianjin;9/11 and Tianjin
"Everyone give us money in case something happens and when something happens we'll call you a liar." -insurance;Insurance
What was it called when the dragon from The Hobbit was thrown out a window? The Defenestration of Smaug.;The Hobbit
What religion do mosquitoes follow? Muslim, because they go to a mosque...ito. ^Sorry.;Mosquitoes
Why did the chemist join the Pentecostal church? He wanted to speak in tungsten.;Chemistry and Religion
Three nuns are walking down the street, when a streaker runs past them. The first one has a stroke The second one has a stroke And the third doesn't touch him.;Nuns
How do you get two rednecks to play Banjo in unison? Shoot the first one.;Rednecks
Did you hear about the truck full of blueberries that crashed on the highway? It caused a traffic jam.;Blueberries
Sometimes I like to pretend I am a cat ...and ignore my wife until it is dinner time;Marriage
Women and cats will do as they please, and men and dogs should relax and get used to the idea.;Relationships
Like all great artists, Drake will reach a tipping point in his career And follow Snoop Lion's footsteps and reincarnate himself as Dragon.;Drake
Just heard about this teacher who had sex with her student. Another reason I won't send MY dog to obedience school;Teachers
Robin Williams joke from Bicentennial Man A Buddhist walks up to a hot dog vendor and says, "Make me one with everything.";Buddhism
What do we call that one small worm that won't shut up? A chatterpillar;Worm
