"Joke";"Joke topic"
Rick Astly will let you borrow any movie from his Pixar collection except for one... He's never gonna give you "UP".;Rick Astley
"Grab a Pop Tart!" I tell my kids as I'm mixing up the dogs' breakfasts of organic, grain-free dog food with Greek yogurt and $85 vitamins.;Parenting
What kind of bees make milk? BOOBIES!!!;Bees
There are two types of people in this world: Those who need closure...;Closure
Where do you find monster snails? On the end of monsters fingers.;Monsters
How can you tell the clan of a Scotsman? Look under his kilt, if it's a quarter-pounder, he's a McDonald.;Scotsmen
How to be a grown up at work? Always smile and replace "fuck you" with "OK great";Workplace
My healthcare policy basically only covers taking off my shoe to twist my sock around a little bit so the seam isn't right under my toe;Healthcare
What did the left eyebrow told to the right eyebrow? Hi brow;Eyebrows
Best joke I've ever made *I open the door to leave the house* Me: It's raining outside? Mom: Yeah, and it's chilly you might want a jacket. Me: It's raining chili?!;Weather
I shake my head at people's stupidity so often that no one will even notice if I get Parkinson's.;Stupidity
Why are fried onions like a photocopy machine?  They keep repeating themselves.;Onions
The Dallas gunman was a bit late. I know he wanted red whites in blue, but the 4th of July was like a week and a half ago.;Gunman
A joke for the ages Le COCKoon;Cockroach
I wrote 2793 tweets in advance. So if I die tomorrow, you won't know until 2018.;Death
I don't like how funerals are usually at 9 or 10 AM. I'm not a mourning person. Edit: WHY THE HELL DID THIS MAKE THE JOKES FRONT PAGE;Funerals
Toys to Africa Stop sending toys to children in Africa. It's gotta be depressing, getting a Tamagotchi that will outlive you.;Africa
What do you call masturbating on a plane Hi-jacking Never forget;Masturbation
Chinese girl I asked a Chinese girl for her number. She said, "Sex! Sex! Sex! Free sex tonight!" I said, "Wow!" Then her friend said, "She means 666-3629.";Chinese
You'll have to excuse me. I've just been going through a weird time since birth.;Life
How do you milk a sheep and make a profit? Remove the audio jack;Sheep
I just spent my entire tax return on guacamole.;Guacamole
Canada is 50% "a";Canada
What's the award for being the world's best dentist? A little plaque.;Dentist
When I went to bed last night I had 47,000 followers. Now I have 700. Did I spell something wrong?;Followers
What's the difference between a refugee and E.T? E.T learned English and wanted to go home;Refugee
I go to McDonald's once a month just to replenish the napkin stash in my car;McDonald's
Texas principal: If that's a homemade clock and not a bomb, what time is it? Muslim student: Time for a lawsuit.;Texas
My mom yelled at my sister " GET OUTTA MY PURSE!"... My sister yelled back "I'M TOO BIG TO BE IN YOU'RE PURSE!";Family
A boy went to a Halloween party with a sheet  over his head. 'Are you here as a ghost ?' asked his friends 'No I'm an undercover agent".;Halloween
What is a Jamaican's favorite video game? Smoke-a-mon;Jamaica
My teacher in first grade said I was stupid for "wanting to be a T-Rex" when I grew up but she died last year so who's the stupid one now?;School
What goes CLOP CLOP CLOP, BANG BANG, CLOP CLOP CLOP? An Amish drive-by shooting;Amish
is good joke here waht du u call sisl ngiger ))));None
I went to this restaurant on the beach in Florida and ordered something called the Pelican Burger. It was good, but the bill was enormous.;Food
Due to recent cutbacks the light at the end of the tunnel has been turned off.;Economy
What do you call a group of Mexican racists? The Que Que Que!;Racism
I can cut a dead tree in half just by looking at it I saw it with my own eyes;None
[Snow White sees her doctor] Snow White: How bad is it, Doctor? Doc: Damn it I told you I'm a mine worker not a doctor. It's my name, idiot;Profession
I showed my 12 year old son an old floppy disk... He said "Wow... cool! You made a 3D printout of the save icon!";Technology
Game Journalism ^^^^Thats ^^^^The ^^^^joke;Gaming
Did you hear Victoria entered a boxing tournament where the grand prize was a sex change? I heard she came out the Victor;Boxing
How many journalists does it take to change  a light bulb? "We just report the facts we don't change them.";Journalism
In history class we got to read on a WW2 topic of our choice. I chose the Manhattan Project. I heard it was the bomb.;WW2
What do you call a deaf quadriplegic? Whatever you want;Disability
Rock around the winter clock One, two, three o' clock, two o' clock rock!;Music
I was going to castrate myself But I didn't have the balls.;Self-castration
Spare ticket for Dynamo next Thursday They all Shocked to looked;Sports
Where do intergalactic keyboards go to drink? Space Bars;Space
Just saw The Martian. If Matt Damon was alone on Mars, who was filming him that whole time? Clearly fake;Movies
Did you here about the priest? He broke his organ on a hymn;Priest
Make love to a woman's mind, and her body will follow in kind;Relationships
I secretly bought some new trousers without telling my girlfriend Do you think chinos?;Shopping
What do you get if you cross Bambi and a ghost? Bamboo;Mythical creatures
Your potato salad recipe is not a "family secret", your uncle Ray who cooks meth in his trailer home is a family secret.;Family
Why does a chicken coupe have two doors? If it had four, it'd be a chicken sedan!;Animals
[confessional] me: father, gooey naan. father: what's gooey naan? me: nothing much. what's goin' on with you?;Naan
I like my Xmas turkey like I like my ass With my grandmum's fists in it, pulling out the stuffing.;Turkey
What Does A Nazi Turkey Say? Goebbels, Goebbels, Goebbels;Turkey
